"","GSM8115892","GSM8115893","GSM8115894","GSM8115895","GSM8115896","GSM8115897","GSM8115898","GSM8115899","GSM8115900","GSM8115901","GSM8115902","GSM8115903","GSM8115904","GSM8115905","GSM8115906","GSM8115907","GSM8115908","GSM8115909","GSM8115910"
"ENSG00000277631",3.73765234560414,0,13.8585816659968,0,0,3.51805371560693,0,0,0,2.34450430241548,1.49465268463094,7.48020818992762,8.99897088596334,0,3.2048764778974,0,2.52954525094692,2.08056227585376,0.268043546375179
"ENSG00000277632",1.64647572594464,0,0,0,12.3243027511188,0,0,1.32585748067297,2.69438532492216,0,6.11912847945489,7.62449793808218,4.57444246565313,3.96867923904224,23.3910724801325,0,1.31614169474048,0,0.531246264180595
"ENSG00000277639",2.74328719125439,0,1.5468782504394,0,1.57002635195035,0.860832063264072,0.770466270898513,0.764654938312793,0,0.835265299126185,2.34446761581184,1.40902346854406,14.6256083284643,2.94873791616692,6.37029978314526,0.812414678619191,9.45422671599105,0,2.82758519858536
"ENSG00000277651",3.88382487104777,8.53859602210784,0,0,0,0,0,0,0,0,0,0,0.829826452695829,0,0,1.06130895098031,2.94993928701691,6.25866960055973,0
"ENSG00000277662",3.87209672054863,3.61897109997846,0,0,1.02672986503453,1.21574086214808,4.2458595997223,3.94617981440943,10.0411453931337,0,1.52630591612112,0.892144867007275,3.33934906399767,8.31799984901843,1.42352993920551,1.06370703560688,2.95796167374181,3.13536617247201,4.94990760429891
"ENSG00000277675",1.25846578710477,2.2312537581787,3.20593299979641,0,4.18506194992992,18.9517535382614,4.19765585967085,10.1295070045289,13.3811066654331,6.67384203135149,3.11678997617818,3.7033970487377,0.873587413319917,1.01111740547051,7.86477142217319,4.33072812572587,8.04474814817018,6.36098880400361,9.69069994592958
"ENSG00000277687",63.5247298598551,61.922811151455,44.329395019979,39.4487334152592,41.0880029742671,23.4491086055309,26.1119942956602,25.5819081186112,18.6637774452972,11.2062013964474,32.2115764080238,27.2386680830911,23.9894486829995,12.0301758530933,26.4890620965234,25.0754116265577,28.3587535031661,7.45994066948186,19.2231183304818
"ENSG00000277688",9.01752869657044,9.585593084623,5.49408742505684,23.2712963062156,18.5098588609505,16.9865659193174,12.7264905353758,18.7844229073889,9.05700283679333,18.473370104544,7.64413188757352,10.7375410309998,15.9214514049158,5.1852694306701,11.3929140963602,28.760201142613,28.6408015480125,19.8811616935294,18.777718596168
"ENSG00000277690",0,0,0,0,0,1.22269436690843,5.32001278352327,2.94136821398136,0,1.07680258305224,0.759529387926377,0,0,0,0,0,0,1.0415595702445,0
"ENSG00000277692",2.52966948108841,1.13119060978299,3.22536158334597,4.36112842274478,1.0425855709841,1.19050226449517,5.25909204373658,4.03154334432167,8.20103794006236,2.21534907158684,1.55215403769191,0.919280569685741,3.46484491342324,3.04731672680498,7.14467293512292,6.47365617262383,6.01191190796762,7.40146925051303,7.78420545954905
"ENSG00000277693",0,10.0737609735593,6.3197808196268,15.3384423016231,0,8.81526135726685,0,0,0,0.66111576456337,0,11.4770008995993,17.7853279683972,7.39912386004582,1.0882905963128,0.643090795782607,0,0,0
"ENSG00000277701",77.2896618381209,129.489171752621,28.7551749465843,57.7850010340562,70.6062365742667,79.685547594697,229.206688684598,183.965346892847,170.571102158536,159.058610102782,122.364167908587,89.8879468084526,85.095813984519,136.066654336502,85.3021687082138,260.876469588834,232.172229200331,233.086573476067,268.146661263671
"ENSG00000277702",5.36932545462349,3.53711216576273,6.01161178657852,0,5.79355642353132,1.27894429700022,0,2.18005012651174,2.11673950821895,1.48352371842646,5.11302464183159,2.58296973051539,2.70041093908874,7.93956977445131,5.99583851645023,0.934562225983996,3.15908142703476,2.68042276191137,1.14044588535274
"ENSG00000277715",19.8006954899282,8.55072479380726,23.0396880076768,7.66554606835795,14.8128585629117,24.4644759288479,24.9922560251116,43.2517043563747,44.7849529203144,37.1478458589964,28.429806341582,22.7475977816237,27.8385263124828,25.9278108518972,22.2104991299291,67.8882724934101,42.727359763852,49.1802433851715,51.6350765225974
"ENSG00000277728",1.2992248140049,3.71041344129234,3.33019275840273,7.26816276101875,5.10470063675544,3.67328552258512,8.51697946099106,4.89449134124866,5.97560372520244,9.67448487747586,8.34445769484375,5.29638288182154,3.29481184181041,0,4.26375142910517,4.23361087163725,5.88001486385956,4.16255583477363,3.98403951468857
"ENSG00000277734",28.7536388252644,23.0270931775723,33.9246259395108,19.8010582628756,38.8859401634696,32.9479287714811,7.32370066502973,6.11756541952483,8.27398251910666,8.94194746483918,37.6005759484862,29.9029705335537,39.7429091366188,38.2096241322172,27.9082474244667,16.3132063844305,14.1435931559259,11.7012518001775,15.4234166817584
"ENSG00000277738",2.51894291932363,0,4.27862725567592,0,4.18279079046567,3.55626433426738,1.04979218210688,0,2.05734212723368,0,44.3863683078611,54.5640677779446,19.1937723363096,0,14.2980160832149,2.16417942151547,1.00502946109035,0,3.87873495465987
"ENSG00000277739",4.20435273993259,0,6.29942938266489,0,4.42388336909951,6.08007386539346,0.998852487251971,2.89281902782634,1.37173656211715,0.701059684107504,5.38640891207284,5.39028928565942,8.95997322902045,2.26145153449506,4.83017737617553,3.04736968688099,3.13983518685076,5.39738578480457,3.46073532643741
"ENSG00000277745",1.27428104731668,0,0,0,0,0,0,2.00055229330401,1.01811951146443,1.09987369822952,1.54287141735098,1.81897328436405,0.855065716215635,0,1.42717104730396,1.07343669272017,1.99287657948746,2.10613693644828,0
"ENSG00000277749",0,2.29824507060063,5.41050072520371,5.26942589069817,3.11566130421276,11.9707144506913,4.21756062377874,10.0237622560164,1.02013000251848,4.40844014052305,10.0451984917282,14.5947498998038,19.7370467907048,11.234202028357,1.42769417310376,1.07493266892133,1.99593026069321,0,0.977385641269079
"ENSG00000277758",49.2104767404469,67.4127007522963,59.271791107676,68.5609218171728,57.3572285520529,69.4919020613874,65.4231371741748,88.0410008126211,47.0575946793747,37.3000847559346,72.995253247471,85.0575338434862,67.1052685915802,56.5675421915153,64.5243814901192,164.891576864559,112.355610488351,98.6456187037196,73.2810592042282
"ENSG00000277763",1.26541423503028,0,2.15144216023984,0,0,7.14643496719985,3.15614678445954,6.04448423131607,10.2470661316333,12.1793227267559,2.32734441465041,3.67469151353955,2.59661677713427,2.03246312673861,0.714405608735141,5.39297315538842,5.00826538423883,10.5709603696252,5.84039666183529
"ENSG00000277767",0,1.07126647885853,6.29042363349443,1.70509131056323,2.11485570785061,5.83010678718438,2.08357090519035,6.17331226087365,12.4903351787553,10.124834098043,6.31316871330754,4.73305409270516,7.17338114147741,6.98575348684629,5.01475082921258,6.56585169873966,13.2169291302133,4.27462607997466,4.78449433270024
"ENSG00000277775",9.0397814400886,14.5039283135233,12.1225950309009,0,19.4990553615751,36.4938050373317,3.18517647165404,5.91554261836057,12.0415337341238,9.75080083837519,14.4930585970168,32.9807211122958,30.8560279027751,4.16225913438474,32.0254710882482,2.12656485070194,1.97097196663808,26.1188969942133,7.92359431820391
"ENSG00000277782",3.98078858442912,12.3269420933417,12.5311645049935,5.73752316768846,14.9827370852548,5.01576750238815,17.1919478934561,19.0008337111109,9.63927055446146,16.6203729384686,5.19140274330735,10.1790330508468,3.13045660498166,28.5020810559806,7.7649352778209,20.7772092639649,11.4826598778129,16.3715877480162,21.379586105476
"ENSG00000277791",11978.7161770813,5292.7875616819,10410.5064989065,6686.88940207177,9163.37392673468,10617.4207807647,6426.97347793519,8226.22426832075,7238.40737463668,7503.5600090836,8661.87800506964,9598.72980917436,9484.56183374519,5679.31204774587,8079.18715877705,8634.72379168496,6261.66230319641,7392.37065106963,7085.56532657296
"ENSG00000277795",0,0,0,0,0,2.34300204533291,1.04408231087863,0,2.07493352870966,0,0,1.88069365453749,0,0,2.14797615985804,2.18167754124917,4.05354605786665,0,0
"ENSG00000277797",0,0,1.04570963318652,0,3.1767569675161,0,1.0407451548963,1.03104575573015,2.08477939369432,1.12665472947727,4.74294034109079,5.69671930418201,0,0,5.73254335501877,7.67109362628203,7.12720974106784,3.20935170917894,3.82106275232133
"ENSG00000277801",77.8448222720567,64.3107055865788,57.5463646976973,153.087885582908,78.5936351655315,80.3595738591491,170.875129844064,115.741259379508,125.792409184176,133.711775006507,68.6974212472755,117.036307429448,86.8180930876701,40.3648253761107,72.2350904266041,168.079606989446,101.730522866403,101.897033524867,112.202926475383
"ENSG00000277806",11.4236348215602,2.28529068810426,3.2389404046975,4.38024526617557,4.15990480585848,9.55809759212229,2.10699711794365,6.02594741383632,1.02195090068643,2.20827231782825,3.09554497840786,7.31737724850575,1.7220226095761,0,2.85624181917951,11.8397877181067,4.99700510717107,2.11072574986743,4.87914688984172
"ENSG00000277825",0,0,0,0,0,3.56308742156338,1.05070611848114,0,2.05427386045704,0,0,0.922327334490752,0,0,1.42941380252305,1.08067186912189,0,2.11733301154785,0
