gene,mean_z,n
CRHR2,1.4444673498621565,2
CRY1,1.438738587013384,2
NOA1,1.4386888035776197,2
OPHN1,1.4374937119040543,2
HIGD1A,1.436664511615026,2
PEAK1,1.4361656219061243,2
PLCL1,1.4357951006249627,2
SNPH,1.4351038665550957,2
TMEM14C,1.4350594280224387,2
ARRDC4,1.4332346643101341,2
TCF3,1.432700563984357,2
H3C15,1.4323004615538177,2
ZBTB20,1.4310395433192284,2
SLC38A4,1.429870285615951,2
COTL1,1.4292182407391922,2
SMIM17,1.4290752188028883,2
DNAJC18,1.4285453766284322,2
GANC,1.4270957059363396,2
TUBG2,1.4266166388244717,2
SMARCB1,1.4261510527183519,2
HSF2BP,1.4253344819625753,2
RPL3L,1.4248321181914103,2
FMNL2,1.424652696544316,2
LMAN2,1.4235733744343981,2
TTC23,1.4229897467368935,2
MAP3K7,1.4203549784778315,2
RPS11,1.4200137105747777,2
GTF2F2,1.418968720294312,2
ADAMTS2,1.418926554115056,2
RALGAPB,1.4180213991691535,2
NEU3,1.4175550342638488,2
DDIT4,1.417312274756044,2
NRAS,1.417017743064706,2
INPP5E,1.4165260096323804,2
ZDHHC7,1.4161037059493269,2
RPL29,1.4155348708741453,2
GNG2,1.415512229360436,2
MPP2,1.4153581421111965,2
RUBCN,1.4152537411713748,2
RPL22,1.4145686353094606,2
WSB1,1.4144712489817435,2
TFEB,1.4118390746593774,2
SMARCAD1,1.4116568751161878,2
SLC16A10,1.411293505073971,2
GM7666,1.410223716552899,2
KPNB1,1.410146618881996,2
PRPH,1.4094612872569636,2
EGLN3,1.409321536429072,2
EEF1G,1.408320185540294,2
SAMD1,1.4079386687154087,2
STRIP1,1.4064819445258614,2
SELENOI,1.4056568237693092,2
RPS14,1.4030908909919542,2
RACK1,1.4017744399464602,2
DDX31,1.3971586635002804,2
MPND,1.3957925438668843,2
ATP6V1F,1.3954704545220618,2
KRTCAP2,1.3949186984367308,2
SLC25A47,1.3943161197810996,2
CENPV,1.3938032331775756,2
CD320,1.3930322022547932,2
HUNK,1.3928513035039805,2
ISG15,1.3909063541573627,2
PYM1,1.390842190864013,2
CAR4,1.389189231527372,2
PRKCE,1.3890152347181435,2
RPL13A,1.3883792915133382,2
CLIP2,1.3870616097585313,2
COPE,1.3870235619137945,2
RPS18-PS4,1.3869341475674979,2
SLC25A19,1.3864790718616662,2
LCOR,1.386096008554371,2
2310065F04RIK,1.3822066220656015,2
HDAC9,1.3791797797225578,2
IGF2BP2,1.3789818150300936,2
NTSR2,1.3786986760177284,2
UBIAD1,1.3781356676683552,2
COL5A3,1.3779616865508069,2
KLHL3,1.3750590483310139,2
HMGA1B,1.3730593679110206,2
RPS25,1.3729186886624865,2
FAAP100,1.372551288451549,2
ANKRD44,1.3717589592504487,2
STAG1,1.3712985786482954,2
TNIK,1.3708418999598657,2
BACE1,1.3700219275348187,2
TMEM144,1.3691454798176357,2
FLII,1.368871133242517,2
PRKG2,1.3680026960461602,2
REEP1,1.367340380393892,2
PSMB10,1.366391771362646,2
HSD17B8,1.365409712693209,2
KCNJ12,1.3649886094133978,2
TMEM150A,1.3646863118522987,2
ASIC3,1.364191945604118,2
GAPDH-PS16,1.3632083254137326,2
ZFP454,1.3626399435947079,2
MTRES1,1.3620204625066115,2
