gene,mean_z,n
RILP,0.9002480405819315,3
WT1,0.900187266055425,3
CD209F,0.8996955854525789,3
MS4A6C,0.8995263333571512,3
ATP6V1F,0.8984236641875881,3
PLXNA1,0.8982209254166587,3
RIN1,0.8972172855178039,3
SGCA,0.8971394797246142,2
ATMIN,0.8966391364020372,3
TACC1,0.8955183284398155,3
HEG1,0.8954519865375214,3
CBLC,0.8953810288639801,3
TNFRSF12A,0.8950318046591149,3
CCDC142,0.894908648631866,2
CPA3,0.893798667857479,3
ALKBH3,0.8933643511275987,3
FAM83A,0.8930052346025735,2
UQCR10,0.8925406376846742,3
CBR1,0.8920526668416721,3
ALPL,0.8919509663380422,3
TNS1,0.8914902590858383,3
CAMKK2,0.8910401266470983,3
CCR9,0.890494655684723,3
NOS3,0.8901118017626667,3
ACMSD,0.8894306743436666,2
PCDHGC4,0.888899871550556,3
CSGALNACT2,0.8880737247061988,3
CFAP52,0.8878458615334046,2
PRSS23,0.887724153490256,3
SPTLC1,0.8871584759226937,3
BABAM1,0.8862112887084659,3
GPIHBP1,0.8862090710623,3
SIM2,0.8861856110542561,2
GM7694,0.8860102907977372,3
RNF128,0.8855591407753747,3
BCS1L,0.8854442255321696,3
SLC4A3,0.8846054551950201,3
KLF10,0.8845393299768695,3
PDE1A,0.884214145681657,3
SMPDL3A,0.8841144108542237,3
HYCC1,0.8839796647963061,3
TYRO3,0.8839055370577992,3
KAT2B,0.883761580339336,3
SAMSN1,0.8835585399311853,3
NUB1,0.8833196235788634,3
CHCHD10,0.8830958482924492,3
SDSL,0.883000318545427,2
CREB5,0.8823971727137504,3
STX11,0.8818231467158976,3
GM2A,0.8817929633029932,3
SLC1A5,0.8817073032718193,3
DHRS3,0.881549711479969,3
TREM3,0.8814377074850039,2
FNDC11,0.8811344344597285,2
IGFBP3,0.8811206699033495,3
IL6RA,0.8811055644058756,3
ELL2,0.880609573720473,3
SEPTIN10,0.8805755017718088,3
YAP1,0.8805569545250921,3
TATDN2,0.8804482773582665,3
USF2,0.8794718932336042,3
GM6136,0.8792530593882951,3
AKAP7,0.8790800376971465,3
KLRD1,0.8779841081803051,3
HABP4,0.8779107849594432,3
SQOR,0.8759130583187318,3
CSF3R,0.8758630114111279,3
ZBTB7C,0.875703162677099,3
ITPK1,0.8754451405129607,3
GRIK5,0.875220646078679,3
GHITM,0.8746277661380321,3
WDPCP,0.8743407168201913,3
CTSC,0.8741693439813206,3
GM7908,0.874053611259502,3
BOLA1,0.873946068986082,3
ITGA5,0.8736577990233693,3
ACLY,0.8735856114002954,3
CREB3,0.8730520129764338,3
ATP5F1C,0.872895679937603,3
GPAM,0.8726792208394892,3
A830082K12RIK,0.8724880831083226,3
CYP2AB1,0.872386927759744,2
IL17RC,0.8723571664681403,3
FUT7,0.871785672521161,3
GINM1,0.8717737997138172,3
TSC2,0.8717521183284812,3
ZKSCAN16,0.8714338583067605,2
CHST12,0.871413579148605,3
SH3BP4,0.8713333431914494,3
ZFP334,0.8712903275393319,3
RNLS,0.8701609865796355,3
MAMSTR,0.8701420262654934,2
C030006K11RIK,0.8699172764386885,3
FBXO34,0.8694273051365872,3
C130060C02RIK,0.8693411648218158,2
TMEM106A,0.8687278609326518,3
ABHD2,0.8685386243372131,3
ZBTB47,0.8683700155791163,3
RASGRP3,0.8682433198839371,3
KCNB1,0.8681984309770884,3
SNRK,0.8679870661910284,3
RSAD2,0.8675441224425096,3
POP5,0.8665755458786187,3
PI16,0.8658659855637573,3
APBB2,0.8657949911299486,3
SHE,0.8655905140607584,3
LRSAM1,0.8651098880020794,3
DNAH10,0.8648492462131769,2
SOD1,0.8646541221831182,3
2700054A10RIK,0.8640977035204769,2
TPRN,0.8639333072556145,3
9530026P05RIK,0.863875560245325,3
