gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEgreenyellow,kMEmagenta,kMEpink,kMEpurple,kMEred,kMEturquoise,kMEyellow
Elmod1,blue,0.6906299676156099,0.13770569168969718,0.6906299676156099,-0.33081672687634994,0.5437201913794011,-0.34921422774076827,0.23872190850694064,0.06653072768919034,-0.011005312301804347,-0.6622637723755939,0.4106065891878053
ENSMUSG00000090558,turquoise,0.7058217105241866,0.031339098438242306,-0.7032000253602739,0.1862682357959898,-0.12709135311368133,0.16803978799970695,0.02327358041413142,-0.04226449083222801,0.020884291585201116,0.7058217105241866,-0.17468582195130625
ENSMUSG00000091905,yellow,0.4204820750875048,0.3854287558118412,-0.0754741343246116,-0.5676548636804588,0.05233202542867181,-0.15326055325927163,-0.14280417877905757,-0.334389791209897,0.39730215730585244,0.0735352591271295,0.4204820750875048
Pcdh9,blue,0.8548867266782286,0.018966605704135178,0.8548867266782286,-0.2748216213575704,0.10827245887601304,-0.1478271207648983,0.12678353912457846,-0.10113333656354612,0.11162264132241646,-0.8284683265856312,0.22923066232083789
ENSMUSG00000092674,yellow,0.438393370734146,0.2591330159264888,0.0686325575730165,-0.1830155452239016,0.16539158861563547,-0.3161568854868496,0.05687367376543334,0.1668870251224192,-0.08041578871053799,-0.03799467486305022,0.438393370734146
ENSMUSG00002075102,blue,0.13465295230437727,-0.11436411978112368,0.13465295230437727,0.12950249529534985,0.015564589684885013,-0.0729497951698678,0.04373908271065682,0.17420723982048478,-0.1419757007176531,-0.08543174457371246,0.10604123924505593
Igkv3-1,turquoise,0.5283196864741979,0.24609713264043784,-0.4864985619711965,0.04610545069622953,0.0175800491636301,-0.18387877388292276,0.01834252020227989,0.24415764691673078,-0.22434054928389216,0.5283196864741979,0.07380621057443092
Fcamr,turquoise,0.5214642372029475,-0.4744277401475847,-0.5880219874799709,0.3727262448087372,-0.2588881791843176,0.5311652271339755,0.0050481632267027005,-0.16248135284589602,0.14747346777292963,0.5214642372029475,-0.49762240728520474
Kcnj9,blue,0.4305614321544367,-0.19860033288566722,0.4305614321544367,0.16292151835490862,-0.003627502041733224,-0.0016938845085182582,0.10546942983210211,0.117390202772149,-0.138812621612871,-0.37813900468616213,-0.0777211820794189
ENSMUSG00000113816,yellow,0.38731471443643917,0.3279823541379016,-0.06317821592547944,-0.2623890392248727,0.1439150738059694,-0.30249044868093655,0.042416212218838484,0.06544647746603285,-0.005233371862227076,0.07762778570203212,0.38731471443643917
