gene,mars_delta,mars_delta_lo,mars_delta_hi,mars_se,iss_delta,iss_delta_lo,iss_delta_hi,iss_se,mars_over_iss,mars_over_iss_lo,mars_over_iss_hi
CD52,-12.378417564368068,-140.78507818196172,106.51403825686704,63.91290439119373,-0.387554966330362,-4.15624095213979,3.0394535042508948,1.8248033904068175,31.939772780040652,-46.319207707919745,-25.627493565316417
ABHD15,42.40087906483462,-107.05646735526422,205.77699946356432,79.83906557565743,-1.036161649204409,-5.175892032610519,3.4573458520231957,2.2323767396043785,-40.921104440982816,-30.964928571614006,-39.756818373929335
LOXL3,84.25214329169725,-31.636762719040203,196.1092454524683,59.18651621713232,-0.31903280018774044,-3.7200844602818046,3.0419063475899475,1.7007077424965777,-264.08614801398977,-10.400307933248994,-52.71634220842733
BTN1A1,1.132052733092411,-203.250700628008,213.67368078383637,105.26581756255085,-0.7525100658307424,-6.959212777993438,5.2817178502342585,3.103640445301352,-1.5043688908568524,-38.48193076405875,-30.70371428497194
KAT2B,41.99037843130801,-46.376338528571864,127.88543982293054,44.40781158732319,0.25301673418913045,-2.057123844883633,2.702539446157005,1.2414762097219556,165.95889819651268,-17.160281821054912,-62.16710780004824
RAB5B,-10.552018399826926,-32.64867409530547,10.368648599797693,10.960569183171152,-0.3100743270219557,-0.9350913890561564,0.28026711594368936,0.3095066323340143,34.030609696622065,-116.49127649304805,-11.088379939273517
CRYBA1,68.23753072218588,-97.6685402782672,253.37256093458413,86.57419005767211,0.9852645463263027,-3.48589505079641,5.834402002481099,2.459019775765709,69.25807995083056,-16.740111537863406,-72.68508008486859
DNMT3L,26.577067493405956,-222.92574677204558,268.1212160408132,124.90788101950208,0.4801001060606576,-6.412784630290764,7.678555146561378,3.599999859796312,55.35734559918658,-29.03225183866479,-41.810419575661975
AIRE,-16.808886309906985,-229.569924153382,187.4250702929358,109.484780787021,-0.4465190157452274,-6.584289997686871,5.352303737493415,3.0691691450982233,37.64427878139397,-42.891796768786136,-28.46549443581315
ICOSL,-13.323809420014593,-131.57039757334556,114.7342502724764,61.71948526172341,-1.310922846742607,-4.749219176744723,2.5196762862039606,1.7576910635344398,10.163686942463254,-52.21718293486186,-24.158550280073445
SPG7,-5.026729475574991,-54.15293987577673,44.94041598885663,25.475313130029537,0.6876192215258615,-0.7201118395543197,2.2110453876244125,0.7422096027797195,-7.310338801205159,-24.4920073458825,-62.407550494754325
SULT5A1,65.41411339450339,-168.53458994374785,301.98240886939294,122.20545379603273,-0.5834962013558416,-7.552456446335734,6.5203897254311,3.607595447272292,-112.10717951977033,-25.847318494847343,-39.98466075443671
RPL13,43.02380709936358,-68.4726436498333,147.6110031329966,55.932101948198245,-0.251514282178497,-3.6036370416608854,2.7979091806873355,1.6279500788253451,-171.05910140255992,-24.47278993988371,-40.961673283545764
CHMP1A,-21.389914950774436,-65.01202660632028,22.900249356641183,22.10196517012854,-0.1853101400171397,-1.3966528860316596,0.9906970445550265,0.6167006007124253,115.42765522057262,-65.6225098920332,-16.396521702474093
RPA1,-5.027500032976422,-66.2688088008283,54.37851604075314,29.400968501236182,-0.4707433786714926,-2.209287951942175,1.1754407782791771,0.8411699725400038,10.679916618614522,-56.37783717002278,-24.61359371147126
SERPINF1,-2.9611879428384165,-122.69576484499854,117.66878102348858,62.387183491037796,-0.586491708558433,-3.8532054836637197,2.841996901039324,1.7847972749116745,5.048985176818385,-43.172378126143784,-30.53789410462644
TUBGCP3,13.196796617761768,-43.47758833755906,73.09753191740194,29.929037637724786,1.0217084707066184,-0.685409981087204,2.6762945063901,0.858684786829943,12.916401298537538,-16.245442433091373,-106.64789532456753
