gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_HLUxIR,t_HLUxIR,p_HLUxIR
PKD2L2,ENSMUSG00000014503,5.268511807120605,-1.0043639530133117,-2.7925448507645103,0.012499924016000197,0.061868980679183366,0.2106820958642963,0.8356400002928221,0.7798169143838571,1.6794895878846772,0.11133977893647606
SRP19,ENSMUSG00000014504,9.488262549852724,0.30803594109076504,2.3845220287635422,0.029020099313556313,-0.05185895152016506,-0.4916650168039466,0.6292441089538539,-0.24119009684795717,-1.4462222666395463,0.16630042578618576
CLEC4F,ENSMUSG00000014542,0.11667083077201865,0.6377462669091124,1.2251522743017937,0.23722240793565885,-0.011368218750793276,-0.026747315272995977,0.9789727529917811,0.23247859607739926,0.3459399711981722,0.7336320753568004
KLRA17,ENSMUSG00000014543,2.26447916595905,-0.8690658649629824,-1.2648157545690841,0.22300191707941353,-0.6822201425338432,-1.2160312668631317,0.24058939745343144,1.0016578196656711,1.1291966613495443,0.2744976464449622
WDFY2,ENSMUSG00000014547,11.843828335939133,-0.031119700233415315,-0.27240744087345875,0.7885898179818507,0.07616876898241086,0.8165938928316059,0.42545630968124026,0.02732311646958039,0.1852633103544873,0.8552148803264485
RBSN,ENSMUSG00000014550,11.058474106403018,0.16347729771718492,1.7892484145405123,0.0914059861291796,-0.07168120982570267,-0.9608689222536926,0.35008666666173016,-0.060756810757210844,-0.515090790307373,0.6131222854308218
MRPS25,ENSMUSG00000014551,9.991967423639482,0.3313080808698092,2.219989255674595,0.04030560520913817,-0.06479961694747215,-0.5317860148779974,0.6017551104061041,-0.3088945442075432,-1.6032627659570517,0.12729282185458457
DGUOK,ENSMUSG00000014554,9.7036869376794,-0.22067561210613107,-2.5302588813858824,0.021567533692635088,0.04451156606924218,0.6250706713950723,0.5402250418968002,0.07233873593572374,0.6424763694381719,0.5291341205326714
CAMTA1,ENSMUSG00000014592,11.264906116187895,-0.19063912107750483,-1.5709918014167006,0.1346096707446458,0.056463257519338374,0.569866924856953,0.5762221194658732,0.17519435980892878,1.1182982289858086,0.27899393458042154
CSF1,ENSMUSG00000014599,10.954493213246584,-0.0928397257726504,-0.24923021451340252,0.8061690378977513,0.47381844129673206,1.5578456700894752,0.13769033642716977,-0.17716656062776415,-0.368403902219892,0.7171195780833524
STRIP1,ENSMUSG00000014601,10.79589368307297,0.16221046401086125,1.7818282136824182,0.09264805814732435,-0.03378214472658584,-0.4544852702284613,0.6552291633439706,-0.12780840526424422,-1.087481821223127,0.29200249586837534
KIF1A,ENSMUSG00000014602,8.763913625302742,-0.8207590150855433,-2.239432477377595,0.0387863585429733,0.22033559406352296,0.7362962709912123,0.47158931663643355,0.6350513404983295,1.342167668601754,0.19719303718773729
ALX3,ENSMUSG00000014603,1.3755922996951,-1.3755922996951004,-1.8366842813493636,0.08380527675004146,-0.008813702695770873,-0.014412814579910274,0.9886684341897976,0.7365164617619131,0.7617331506457421,0.4566576416942312
SLC25A11,ENSMUSG00000014606,11.55038494069302,-0.2093333630385702,-2.4594265903799934,0.02493002912342801,-0.0008060075399829457,-0.011597921036544306,0.9908814268862103,0.22535933535425343,2.050909948835845,0.05601702230977379
CHRNE,ENSMUSG00000014609,4.940189121803699,-0.8679294239696318,-1.4999857545796853,0.1519607081486869,0.3250551771400749,0.6880269339317009,0.5007170018680578,0.5916947065143842,0.7920927385291119,0.43922047901295547
CMC2,ENSMUSG00000014633,7.8226948859801,0.07100050020595741,0.30090232641853276,0.7671380706848265,-0.2077107572581667,-1.0781241036818872,0.29603935641316825,0.0063820230385684225,0.020950680309852747,0.9835289404456509
CHFR,ENSMUSG00000014668,10.667491428403242,0.2584357688655103,2.0256958664932476,0.058787861069379055,-0.09185991373469096,-0.8818470827513702,0.390158172291293,-0.15810161714516366,-0.9599167216872839,0.3505520064975942
CEACAM16,ENSMUSG00000014686,0.8930678116133968,-0.8930678116133973,-1.5276807310510119,0.1449834713330116,0.5799122692142834,1.2149435254396272,0.24099337129176224,-0.011167448689137906,-0.014797139056452115,0.9883662957066732
HOXA2,ENSMUSG00000014704,6.169290325356889,-0.4367155810979391,-1.7929231928701814,0.0907962790862673,0.2079444333515392,1.045576772089267,0.310396580007813,0.4767850508119997,1.5162166222331122,0.1478385602679657
TEX261,ENSMUSG00000014748,11.343648077068563,-0.2860775814046145,-1.9715355801106673,0.0651626037670392,0.03307479541772137,0.27916668517423426,0.7834846976703771,0.2706359469568413,1.4447140611389346,0.16671819060261361
FAM120B,ENSMUSG00000014763,11.283902834263392,0.026755589562744708,0.47834872505770865,0.6384958629406108,-0.019275942031752293,-0.42207665955450013,0.6782586453291888,-0.024760807996967716,-0.3429024067506958,0.7358754539142989
TBP,ENSMUSG00000014767,9.889031284899541,0.42948240756438133,4.0467659360722665,0.0008378896116771894,-0.06995823121599352,-0.807322686398553,0.4306321048516095,-0.3262836428130584,-2.3814070457079595,0.029203128861120087
