gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_HLUxIR,t_HLUxIR,p_HLUxIR
ENSMUSG00000103779,ENSMUSG00000103779,9.732410434420379,-0.10989667436302723,-0.30261867164648815,0.7658519518947999,-0.1874290507081562,-0.632111520303395,0.535723373769267,-0.2213175438137061,-0.47206590794524467,0.6428824990604545
ENSMUSG00000103780,ENSMUSG00000103780,7.409209204420153,-0.06080553984946518,-0.15232394434940075,0.8807246755150149,0.017745228404015642,0.054444279088816466,0.9572159215756018,0.18237394190688197,0.35388604633065773,0.7277753035785364
ENSMUSG00000103783,ENSMUSG00000103783,7.838153775374287,-0.18061416156846852,-0.794798531985597,0.4376868526177633,-0.05024861981883062,-0.2708164394208978,0.78979291965911,0.21570820497455645,0.7352711857419763,0.4721971492763064
ENSMUSG00000103784,ENSMUSG00000103784,4.518951007732879,-0.13581448628370338,-0.31223264304736464,0.7586609638615398,-0.09367813076272387,-0.2637643253286267,0.7951322088598285,0.10067360076190077,0.17927652995124038,0.8598399541901451
ENSMUSG00000103788,ENSMUSG00000103788,7.612230870577071,-0.16050106005510031,-0.14878383182490215,0.8834748855413861,-1.206893928885346,-1.370227143808157,0.1884409240279008,3.3141158695442234,2.3796941768720776,0.029304233610124797
ENSMUSG00000103791,ENSMUSG00000103791,1.4043543928262419,0.1393982290901106,0.20433050866353775,0.8405214742316292,-0.5369126206598187,-0.9638849554206939,0.3486155537818185,0.11510067139787859,0.1306861132436783,0.8975576504798881
PCDHGA6,ENSMUSG00000103793,7.596168930447156,0.18060575468649537,0.803813001414718,0.4326017948298766,0.27847563818315374,1.5179458518025826,0.14740492626825374,-0.3064359290205162,-1.0564251981684973,0.30555637819952963
PCDHA8,ENSMUSG00000103800,2.794137714313187,-1.24618073770969,-1.9077471752453001,0.07346196331242139,0.14210419340785338,0.26643563408642273,0.7931084630793053,1.665860016211286,1.975394838844268,0.06468857808342587
ENSMUSG00000103804,ENSMUSG00000103804,5.205059145739151,-0.4134614253334252,-1.2538875816250556,0.22685208791815636,0.035873244681922635,0.13324161651874858,0.8955668328812765,0.49882113606071654,1.171774589977994,0.25744878785967495
ENSMUSG00000103805,ENSMUSG00000103805,3.896603509734776,-0.2810615692245531,-0.5468475366833864,0.5915899690210518,-0.32216087344523675,-0.7676852866302833,0.4532059065249874,0.4510536929731391,0.6797804361458943,0.5057955473855771
ENSMUSG00000103808,ENSMUSG00000103808,6.1447067675578415,0.09408993545107829,0.2912612695314791,0.77437536165252,0.15324741761619157,0.5810029828046981,0.5688619722344785,-0.405065863257065,-0.9712719295794929,0.34503056114773334
ENSMUSG00000103810,ENSMUSG00000103810,0.66788650684,0.07610601064922429,0.1473353030347698,0.8846006490045477,0.313095931473546,0.7423537673781488,0.46800708939355706,-0.4223638055687564,-0.6333593447402489,0.534927712852433
ENSMUSG00000103811,ENSMUSG00000103811,1.792388338417681,-0.7257493833450827,-0.9263702451886495,0.367218952340044,-0.4360904083909956,-0.6817420557520167,0.5045848242144673,0.8051961034589187,0.7961139086903333,0.4369425202714625
ENSMUSG00000103818,ENSMUSG00000103818,6.569570842422781,-0.1392983432402273,-0.4703440305684164,0.6440870897671354,-0.09946603137314332,-0.4113297343961622,0.685969779648794,0.013524535963556475,0.03537265706345271,0.9721946192705717
ENSMUSG00000103819,ENSMUSG00000103819,2.2308833309248293,-0.0013119364160688657,-0.001749473358793792,0.9986244887561142,-0.6444691511835183,-1.0525489674716233,0.3072795224294207,-0.5499603961228817,-0.5680696506167376,0.5774145693631021
ENSMUSG00000103821,ENSMUSG00000103821,7.03128776731022,-0.19704053844974662,-0.7324831791203168,0.47385269883182257,-0.05308676281482631,-0.24169849327757498,0.8119052000611924,0.20522253392651638,0.5909391200316918,0.5623364664099357
ENSMUSG00000103822,ENSMUSG00000103822,4.0098096800273995,-0.2414412373275432,-0.576357064636884,0.5719266386932798,-0.22823337816424247,-0.6672751640622505,0.5135529266455234,0.39077335107275907,0.7225713489518858,0.4797665475944006
ENSMUSG00000103824,ENSMUSG00000103824,0.6982377233095481,-0.19282314379739138,-0.3854706774835059,0.7046694981259456,-0.41637842896820443,-1.0194502566548744,0.3222789969024509,0.3324324293621648,0.514767590743362,0.6133433577827574
ENSMUSG00000103827,ENSMUSG00000103827,1.6095877751883203,0.09257242353541453,0.12551074967179923,0.9015915624105988,-0.34584860532911316,-0.5742895954927933,0.5732931852005816,-0.3321742413232422,-0.34885171864570086,0.7314839435336413
ENSMUSG00000103828,ENSMUSG00000103828,4.7439777598222195,0.22108130167231707,0.5065927364859715,0.6189477626284714,0.34545464495520767,0.9694906203990707,0.3458927004472969,-0.4650461966769266,-0.8254269944075642,0.4205620872145257
ENSMUSG00000103834,ENSMUSG00000103834,1.8236322359152117,-0.14442929543018468,-0.20891649135305995,0.8369962615987396,1.5131786950179955,2.680731257824694,0.01579733214104495,-1.6560810722595631,-1.8555584945086243,0.08093948885908597
ENSMUSG00000103835,ENSMUSG00000103835,3.608515436337168,0.13027537699010816,0.1824073800849005,0.8574205574671199,-0.16209560425865144,-0.27796936455654386,0.7843882768344435,-0.5083724208760388,-0.5513630705000312,0.5885592294762934
ENSMUSG00000103839,ENSMUSG00000103839,6.399971197056175,-0.5217627120570607,-1.9713064677923597,0.06519084310999301,-0.07469660115238064,-0.34564285079247337,0.7338514031956305,0.4594504985486981,1.3446072860617246,0.1964194245093216
GM19026,ENSMUSG00000103845,2.1254939840443132,0.34668882215599517,0.7154434828327905,0.4840463649754905,0.22763562054568875,0.5753357271586425,0.5726015067755199,-0.5742121776628509,-0.9178749472156403,0.37152386167905727
