gene,mars_delta,mars_se,iss_delta,iss_se,mars_over_iss
AIRE,-18.71749353260886,107.79931557774792,-0.5577706229181695,3.071142452635418,33.55768978058011
ICOSL,-14.090668901019885,60.89731613174513,-1.285760986140832,1.734930614553623,10.959011085965948
SPG7,-4.484605372559152,25.563637359196015,0.7102292590760179,0.7282937884793929,-6.314306704842685
SULT5A1,68.75623181050062,123.73669681958211,-0.5271812556720635,3.525189566509078,-130.42237574029164
RPL13,40.94475398453565,56.565853962645676,-0.3409374453256624,1.6115296701393564,-120.09462306325827
CHMP1A,-21.722614533040662,22.12512748588874,-0.17908243061564066,0.6303325575650487,121.29952926350028
RPA1,-5.083218705046477,29.443975318811496,-0.4560791082182862,0.8388424554581997,11.145475891023654
SERPINF1,-0.4032043434927033,61.46719982548323,-0.5602137185428613,1.7511662835420914,0.7197330771218067
TUBGCP3,14.537382851480103,30.218463513652424,1.0559660838270983,0.8609071927108727,13.766903193323039
OPRM1,44.58756427502088,61.26209699222619,0.5799515315514556,1.7453230180724029,76.8815355237404
POLR3D,-11.584065828419055,18.742761424472864,-0.021147799150001645,0.533970832577328,547.7669683853676
TCF7,59.04709248932575,62.82619985316868,1.153585233059111,1.7898834373179642,51.1857215203275
DDX3X,16.948326622338534,28.269172475830743,0.7835548040999728,0.8053729768699728,21.63004621202746
IL12RB1,25.10643374626684,85.9802759140061,-0.43919289641909853,2.449530166621186,-57.164935842471145
SLC5A5,-0.7364318776061758,31.040182685458596,0.014810023862801017,0.8843175141878972,-49.72523234455441
KCNN3,29.582108033196537,48.20040907938182,0.01091585381860083,1.3732028052749554,2710.0132087503816
USP32,-1.2722857455292331,28.41503000375187,0.2659346956724773,0.80952837659245,-4.784203664407026
CAR4,-44.29444214880997,52.22739003579256,-1.2733331056772574,1.4879292495469243,34.786217330971496
TXNRD3,24.58438638881906,41.557663017560394,0.8136240112758792,1.1839546702269794,30.215905686297546
FASL,-7.9124592589117455,60.570903169721156,0.4718997801562974,1.7256312910895575,-16.76724506269333
ZFP512B,12.414170184734344,37.79666148422053,-0.16295314973916286,1.0768058315579998,-76.18245001465486
DNAJC5,-5.123595546025447,18.757327119185994,-0.03892335199624036,0.5343858011060778,131.6329474018666
TPD52L2,13.46807517398502,23.79406448395708,0.3434968167768268,0.6778796429808583,39.20873357826591
FMR1,-7.481998899040838,20.067153292322057,-0.09977721748977075,0.5717020191574799,74.98704701609763
BCL11A,3.079560190822079,76.80302181574908,0.7643372869155265,2.1880753094291476,4.029059217102446
PXMP4,-3.433177189326642,23.308259930822263,-0.24375619922056108,0.664039341873016,14.084471288544156
DLG3,-2.072372549979633,36.42390276118188,1.1044324876746436,1.0376967002156088,-1.8764139710730208
GNB1L,-38.24392238260026,71.72179837278891,-0.8853472055617022,2.0433140839671324,43.19652464293562
DBH,-16.459266866773724,124.75015905222689,-0.591980478713659,3.554062540981471,27.803732485467773
MMP11,18.273823240307223,81.94569839869914,-0.7343600277769798,2.3345873006178204,-24.884011314756446
SMARCB1,5.216611229034672,17.721085202011388,0.4434313379627586,0.5048638461105477,11.764191617582037
HIP1R,7.953418242626761,30.767130768669563,0.12181008260158242,0.8765384171785154,65.29359534744654
NSUN5,-11.505833644985081,50.71816273613655,0.06987736010488943,1.4449322044747135,-164.6575318202383
TOP1MT,18.188840882178443,26.28419756318865,0.6315697685692234,0.748822147312667,28.799416608214123
HOXA4,-36.2412937796519,130.54573511931778,-1.4491312670460497,3.719175274784347,25.008979244183433
ENSMUSG00000000948,-19.184698896001493,30.00652233710076,-0.8812393533934008,0.8548691066499287,21.770134098218268
MMP14,11.423608390165546,58.91739735646702,-0.9740946884896953,1.6785238315333635,-11.727410615365853
SLC7A7,-47.937321029103856,88.7617606518454,-2.60207662554724,2.5287731174131576,18.42271690174466
OXA1L,-1.9685164676858147,18.88101200430757,-0.08348071764809661,0.5379095145861713,23.58049287482015
HEATR6,31.98809872175041,43.80826925751749,0.3177507356671977,1.2480731883330916,100.67041593022071
CCL3,-21.211883094300333,110.55195766580142,0.019871301652108597,3.149563692401407,-1067.463192178429
WFDC18,-58.21323588420681,82.68982184155824,0.878659691590522,2.355786963000812,-66.25231183512135
ICAM4,-25.226811136171317,84.88263909742217,-0.03162043101836565,2.418259105140696,797.800988908696
ILF2,6.478938770312537,17.041969417449895,0.661834784362499,0.4855162157008036,9.78935970637032
CHTOP,9.822363035142516,17.286102436261174,0.6049005046996575,0.4924714294156805,16.237981219770138
SNAPIN,-3.667891826879714,24.00844959473712,-0.6986722646986452,0.6839873553666133,5.249803108273902
