gene,iss_delta,linear_mars_delta,linear_mars_over_iss,cap5_mars_delta,cap5_mars_over_iss,sqrt_after5_mars_delta,sqrt_after5_mars_over_iss,log_after5_mars_delta,log_after5_mars_over_iss,linear_extreme_gt5,min_bounded_abs_over_iss,max_bounded_abs_delta,max_abs_delta_shrink_frac,bounded_sign_stable,robust_regime_flag,saturation_sensitive_flag
ENSMUSG00000105553,-0.3551690906862442,-1.964252508892809,5.530471430094198,-0.7401242481820296,2.0838644679129867,-1.136810108831654,3.2007574381969803,-1.0463661192616724,2.9461069296315276,True,2.0838644679129867,1.136810108831654,0.4212505247238094,True,False,True
ENSMUSG00000105555,-0.02062425323045179,3.0352387171064885,,1.0716928852263894,,1.7692711881972165,,1.6141828637684803,,False,,1.7692711881972165,0.41708993818981277,True,False,False
ENSMUSG00000105556,-0.19058263334921355,0.7799818040777233,-4.092617414140384,0.8750539937480124,-4.591467639890408,1.0970833773259008,-5.756470870646766,1.0627949262089333,-5.576557042642621,False,4.591467639890408,1.0970833773259008,-0.40654996256371523,True,False,False
ENSMUSG00000105560,-0.6253969456178574,6.937104120601777,-11.092321715367996,4.230209265959484,-6.7640388965767535,5.955801810558683,-9.523234566927222,5.617177843833443,-8.981780104928372,True,6.7640388965767535,5.955801810558683,0.1414570536902895,True,True,False
ENSMUSG00000105561,-0.12343775722997968,-0.6558092393281116,5.3128739053988046,-0.1822868330312563,1.4767510129954289,-0.31240705906615557,2.530887356322449,-0.28123275689397803,2.278336573873478,True,1.4767510129954289,0.31240705906615557,0.5236312019845555,True,False,True
ENSMUSG00000105562,-0.0919296588377998,5.7879691775681135,,4.249330386186476,,5.641489968384149,,5.381805024053416,,False,,5.641489968384149,0.025307530964687963,True,False,False
ENSMUSG00000105565,0.30861014045240676,1.0115825255396862,3.2778654779676315,0.008997336372729814,0.02915437697393928,0.18512145039439476,0.5998553713206447,0.13535441168366735,0.4385935325561392,False,0.02915437697393928,0.18512145039439476,0.8169981729413216,True,False,False
ENSMUSG00000105568,-0.03256422272525644,0.6119973842076054,,0.9667885122215514,,1.1301127064236474,,1.1108536531569142,,False,,1.1301127064236474,-0.8465972822528989,True,False,False
ENSMUSG00000105572,-0.16248088454346526,-0.2539409248400868,1.5628972328259023,0.3550650344428803,-2.1852726580147146,0.3324853743957512,-2.0463045565634403,0.3489242807721491,-2.1474789588482843,False,2.0463045565634403,0.3550650344428803,-0.39821903329080954,False,False,False
ENSMUSG00000105578,0.2083962249526591,4.636356106802914,22.24779315391219,2.3833503301726067,11.436629097835274,3.430779410860842,16.462771394444427,3.212466955436457,15.415187852688915,True,11.436629097835274,3.430779410860842,0.260026768473011,True,True,False
ENSMUSG00000105584,-0.04513914899885807,-9.842163908748427,,-4.611699420965832,,-6.884502755234595,,-6.403635920016529,,False,,6.884502755234595,0.30050923566562926,True,False,False
ENSMUSG00000105586,-0.2676180389282062,-0.8471727152600759,3.1656039280944985,-0.23892561863490497,0.892785925761161,-0.3906946883144835,1.4598966866329033,-0.35316259866374966,1.3196516949236463,False,0.892785925761161,0.3906946883144835,0.5388252226766497,True,False,False
ENSMUSG00000105590,0.4766382512509622,1.0581335541578758,2.219992943035412,2.2678273919288117,4.757963478543275,2.4839692076096425,5.211434879786367,2.473977246608953,5.190471474154391,False,4.757963478543275,2.4839692076096425,-1.3475006513582586,True,False,False
ENSMUSG00000105597,0.16675045056487392,2.3328408768904803,13.99001243467641,0.058133074302622045,0.3486231917556678,0.5478613744215135,3.2855166061957304,0.42022082679148465,2.5200581189914004,True,0.3486231917556678,0.5478613744215135,0.7651527029345543,True,False,True
ENSMUSG00000105598,0.23803187919555752,-1.574081917910335,-6.612903797718338,0.6086449329929313,2.556989152250875,0.24088329396985309,1.0119791297868677,0.3466693306653865,1.4563987472475348,True,1.0119791297868677,0.6086449329929313,0.6133333811489716,False,False,True
ENSMUSG00000105601,-0.2585577215550729,-0.5354727768494469,2.070998977051981,-0.762543839165929,2.9492209112134633,-0.8598715801946097,3.3256464940323074,-0.8487222966666871,3.2825254320858055,False,2.9492209112134633,0.8598715801946097,-0.6058175454853618,True,False,False
IGKV2-109,0.0912425949240212,-7.559976672638072,,-5.155943148770562,,-6.960298858250546,,-6.615145651882507,,False,,6.960298858250546,0.07932270698108745,True,False,False
ENSMUSG00000105607,-0.10970278599513561,0.18221212483243143,-1.6609616900751363,0.25164614148914133,-2.2938901615525036,0.3145553190893605,-2.8673412095779263,0.30572978660083117,-2.7868917259256087,False,2.2938901615525036,0.3145553190893605,-0.7263138738908645,True,False,False
ENSMUSG00000105611,-0.50319271066007,-4.871680637485287,9.681540559470333,-1.254718962312382,2.4935157758276887,-2.28163945005166,4.534325322516473,-2.038123753705619,4.050384098434339,True,2.4935157758276887,2.28163945005166,0.531652499448441,True,False,True
ENSMUSG00000105613,-0.802625396307165,-6.049261741267151,7.536843176280578,-2.8145523284988117,3.5066823719364115,-4.093469745443466,5.100099952328065,-3.8167810959567072,4.755370454906493,True,3.5066823719364115,4.093469745443466,0.3233108566755456,True,False,True
ENSMUSG00000105617,0.1438921377864083,-2.9924918702029313,-20.796771222100745,-0.7630250674128047,-5.302757184311416,-1.4623373304445966,-10.162732675605056,-1.3013986566785392,-9.044265216285265,True,5.302757184311416,1.4623373304445966,0.5113312269932982,True,True,False
ENSMUSG00000105622,0.16529215583494017,5.312032772039827,32.13723449371907,3.1213624016749613,18.883911253428966,4.34213770605329,26.2694722814876,4.09680610611345,24.78524213940617,True,18.883911253428966,4.34213770605329,0.18258454109915,True,True,False
ENSMUSG00000105624,0.33107418251140264,5.368098740162171,16.21418710284752,3.060648331044155,9.244599829039046,4.267138714770803,12.888769164668515,4.0216964403875135,12.147417868347379,True,9.244599829039046,4.267138714770803,0.20509310254567126,True,True,False
TRAV7N-5,-0.8933518927092053,-14.59486450895319,16.337195485971797,-6.470072236805198,7.2424677102142425,-9.706040130324533,10.864744575499481,-9.007203342982594,10.082480841527165,True,7.2424677102142425,9.706040130324533,0.33496880876349466,True,True,False
ENSMUSG00000105630,-0.03375367505078125,4.066051549116448,,2.0431942796533233,,2.993470572393078,,2.795850655936703,,False,,2.993470572393078,0.263789320860047,True,False,False
ENSMUSG00000105632,0.26970920359038064,2.7063747729280463,10.034417576043634,2.047627365408239,7.591981801696548,2.6526421816039676,9.835193409390111,2.5399942008900678,9.41752883133966,True,7.591981801696548,2.6526421816039676,0.019854083721725257,True,True,False
ENSMUSG00000105636,-0.0034294967136968973,0.38372899168913827,,0.3283916097365609,,0.4214259641286474,,0.4050660138727165,,False,,0.4214259641286474,-0.09823853098399127,True,False,False
ENSMUSG00000105637,-0.04949855261772207,0.4316213461880931,,1.0243507010749162,,1.1519398045708007,,1.143500943463299,,False,,1.1519398045708007,-1.668866622895906,True,False,False
ENSMUSG00000105639,0.29871564678773527,5.391509885200941,18.04897046130329,3.0046327074235855,10.058504600392263,4.219814719346573,14.126527233255834,3.971289474387474,13.294547898957022,True,10.058504600392263,4.219814719346573,0.21732226979134972,True,True,False
ENSMUSG00000105642,0.022473998911278104,0.24781121109590387,,-1.8728614513158215,,-1.8675238616756449,,-1.9127920563136795,,False,,1.9127920563136795,-6.7187470569014,False,False,False
ENSMUSG00000105643,0.012153827714463383,1.0790439220513468,,0.8297275535955361,,1.085741580274307,,1.0386904274937063,,False,,1.085741580274307,-0.006207030210806819,True,False,False
GM6649,-0.04461391828973493,4.934394378023782,,3.989181476996004,,5.179879110187256,,4.965535607182243,,False,,5.179879110187256,-0.04974971868012501,True,False,False
ENSMUSG00000105646,-0.3335196116860692,-1.806215002937438,5.415618571292796,-1.0060297987285836,3.016403724035052,-1.3777099836218176,4.1308215029903845,-1.300227030581068,3.898502471887404,True,3.016403724035052,1.3777099836218176,0.23723920940682308,True,False,True
ENSMUSG00000105650,-0.6003151995878035,0.1311058689610496,-0.21839505155137043,0.43634410183243544,-0.7268583273121252,0.5669281055204252,-0.9443840600899276,0.551981293363633,-0.9194857863712959,False,0.7268583273121252,0.5669281055204252,-3.3242008158220173,True,False,False
4930519L02RIK,1.931840315971423,16.33893029496768,8.457702305871834,6.504184051280216,3.3668331680973314,9.967456730498352,5.159565543845807,9.195681483897403,4.760062934742806,True,3.3668331680973314,9.967456730498352,0.38995659137071614,True,False,True
ENSMUSG00000105655,-0.12260862933305,0.4217361636773047,-3.4396939756313123,0.47082626247841053,-3.8400744306460988,0.5937875609121226,-4.842950811391732,0.5747238370783548,-4.687466454887071,False,3.8400744306460988,0.5937875609121226,-0.4079597911040529,True,False,False
