gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_T,t_T,p_T,beta_HLUxIR,t_HLUxIR,p_HLUxIR,beta_HLUxT,t_HLUxT,p_HLUxT,beta_IRxT,t_IRxT,p_IRxT,beta_HLUxIRxT,t_HLUxIRxT,p_HLUxIRxT
FFAR1,ENSMUSG00000044453,0.6190810426708215,-0.6190810426708222,-1.2157459001934832,0.23297480416448502,-0.619081042670824,-1.7193243404531144,0.09521591860179379,-0.6190810426708188,-1.537810440249249,0.13392546732183463,0.6190810426708241,0.9926523707848826,0.3283265567832656,1.2963048104856991,1.9969893939451815,0.054390467101071094,1.303228957745346,2.4129024729603072,0.021729794115671996,-1.7261106554456271,-2.044078616017052,0.04924829310643575
RIN3,ENSMUSG00000044456,5.780625866507068,-0.5140958541903972,-1.3156768288740397,0.19763120146484114,0.4283398250009253,1.5502744063724403,0.1309104632339091,0.06469676467547092,0.20943423709576975,0.8354369014117842,0.16768115762692112,0.35038359042413036,0.7283468354911959,0.20239921521065543,0.40633783854950833,0.6871991323599362,0.2624388633992988,0.6332234819468814,0.5310875610939092,-0.49976324086113677,-0.771264046968525,0.446208471888518
SHISA2,ENSMUSG00000044461,5.285615858956987,0.04891424665536177,0.1258734934388756,0.9006195954682972,0.19237397054482022,0.700100234332184,0.4889236949942717,0.3260586502253211,1.061340248731359,0.2964802116450973,-0.022807380412632448,-0.047921311281273964,0.962076798447911,-0.45675342756113907,-0.9220491011139527,0.36340296737345756,-0.11561961203317758,-0.2805137557455735,0.7808889947374493,0.5841251069810273,0.9064387078951079,0.3714788707207495
FHIP1B,ENSMUSG00000044465,9.908915211758393,0.08495251310630104,0.3248469167927596,0.7474111828775964,0.08368389848204336,0.4525425503132696,0.6539313890365397,0.32525276313082063,1.5731984297873907,0.1255092842699692,-0.1866444290991446,-0.5827360964730237,0.5641551297409306,-0.10414862049706912,-0.3124131871465849,0.756753351609817,-0.17154152993550967,-0.6184371015993649,0.5406646430972972,0.17705704455543222,0.4082717985418851,0.6857932751708709
TENT5C,ENSMUSG00000044468,5.990076935638003,0.013811795385611891,0.048061412296942475,0.9619660154194558,-0.1377730414730321,-0.6779936657689101,0.5026491082272257,0.1289174287639861,0.5674374810674223,0.5743766831910624,0.2106744311268548,0.5985667563361702,0.5536755643089846,-0.5220367712141469,-1.4250194921005641,0.16383268433464115,-0.04062527649771229,-0.133280453326572,0.894806227917814,0.1884577875193187,0.39545232562545807,0.6951331839682702
TNFAIP8L1,ENSMUSG00000044469,5.311652896778618,0.5492840582479839,1.4312315226859011,0.16205839117949217,0.6293037091377218,2.3189329283655393,0.026941309059653307,0.567778762100424,1.8713371231399758,0.07046529866555362,-0.8914059556708261,-1.8964561266506523,0.06695870165161688,-0.5230201893851446,-1.0690663727999108,0.2930381148662522,-0.5601147325459884,-1.3759847888001715,0.17838076111829793,0.5491578819687349,0.8628668265599958,0.39463173053997913
LNCPINT,ENSMUSG00000044471,7.480308492918465,-0.6715003000861727,-2.0362914875220106,0.050068015986742154,-0.32982351645992863,-1.4144589569919839,0.16688415070472296,0.12183135913681116,0.46731832906237997,0.6434388421187558,0.6125704212706805,1.516715509142948,0.13915622753732038,0.7970903502179174,1.8961583527064305,0.066999373419808,0.2595197384671056,0.7419726010462975,0.4635154152461092,-0.5644437615784904,-1.0321624732032193,0.3097342593935144
ASCC1,ENSMUSG00000044475,6.900753766512198,-0.1598225405228663,-0.7820996899907805,0.4399050719268549,-0.07439327187391108,-0.5148405450625592,0.6102025562992981,-0.0371680471630521,-0.23006672943478215,0.8195043170434113,0.21362278145975946,0.8535442082971156,0.3997019200150358,-0.053276541386120875,-0.20451888891830242,0.8392433049100285,0.011668294874645272,0.05383382252985464,0.9574022530314896,0.2689765363868583,0.7937287910290172,0.4331999809049081
ZFAND3,ENSMUSG00000044477,9.392515832108284,0.011556827862665826,0.050206912874753734,0.9602695865821611,0.18943125152324083,1.1638352317872527,0.25309531483720704,0.576880245794749,3.1700822659823413,0.003348472167409078,-0.2331755078070657,-0.827107912319327,0.41430131238296464,0.023221735990418664,0.07913942204196829,0.9374145629835522,-0.3669504309388527,-1.502989735192508,0.14264732715416684,0.5657220873481359,1.4820459261295142,0.1481096127492092
2510039O18RIK,ENSMUSG00000044496,7.631905625918891,0.16274891117955895,1.389116141942197,0.174389402819501,-0.004684313237771239,-0.05654333139802252,0.9552605654944291,0.021996363899341752,0.23748235853455335,0.8137965387087633,-0.10751699636098183,-0.7492934909881244,0.4591534665011201,-0.05426358212619132,-0.36333082352799756,0.7187470541238845,0.12344061114880524,0.9933499362483897,0.3279918559013639,0.017159611712731254,0.08832051153459401,0.9301723617156417
HS3ST5,ENSMUSG00000044499,6.142178104769155,-0.5819209438182735,-1.6862119679947443,0.10148275110654748,-0.6839578369452995,-2.8028025717058087,0.008532958586439543,-0.06775123740362352,-0.24832783497126804,0.805467521869681,1.3175277886937613,3.117183248499911,0.0038424803298584553,0.19109041895227866,0.4343705865162865,0.6669343488330735,0.9549346012123138,2.6088286065922004,0.013697413993697394,-1.1632670557838223,-2.0326437139557374,0.050456106580808235
