gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEdarkgrey,kMEdarkorange,kMEdarkred,kMEdarkturquoise,kMEgreen,kMEgreenyellow,kMElightcyan,kMElightgreen,kMEmagenta,kMEmidnightblue,kMEorange,kMEpink,kMEpurple,kMEsaddlebrown,kMEtan,kMEturquoise,kMEwhite,kMEyellow
ENSMUSG00000080902,grey,,0.021976037947420375,-0.0007067902987430251,-0.015320086629659689,0.08376095729258393,-0.05676032286514128,-0.026588696868651198,-0.033915884738513695,-0.04283837900122523,-0.09157028765873895,-0.007905692455882438,0.00035613157525908417,0.11723585689871283,-0.03242043060147027,-0.1776751280677833,-0.0020935930842894807,-0.047104060249459435,-0.10629375581098646,0.1267330876060182,-0.04457981786596396,-0.05806361332909907,0.012174211924861515,-0.026872582071639034
Zfp783,grey,,0.19476401292870885,-0.10834703102873633,0.3503942985644546,0.2561638183624414,-0.29251234340427035,0.5355890096536486,0.09924808971940395,-0.07674078343037963,0.4023278733484914,-0.11537078681611618,0.04212658801550978,0.02192482433272519,0.16857380826449547,0.13075991492254962,-0.09032042485720047,0.13617059529496636,0.38956250003311566,-0.014217741634536388,0.0980981074871961,0.4839024287647755,-0.20957844066252776,0.016222985460012183
ENSMUSG00000060989,grey,,0.2755419605398475,0.13012596126416498,0.16833913697879987,0.07773683713858998,0.11103664856914652,0.197570681207968,0.1286549028952914,0.17763103663340496,0.30654496517324753,0.0871013437206966,-0.13619236638104212,0.37785518175530186,0.11891325858071572,0.08727249582070665,0.049663409289997504,0.4226530624787975,0.25329534705213436,0.2588994408716096,0.06839201820334977,0.34707073361345175,0.02607883958284877,0.16734468103091044
ENSMUSG00000024274,grey,,0.14601903868494565,-0.31085050133368275,0.07287295232268047,0.0576673118713319,-0.15384551351119108,0.11996636141040826,-0.007094133264272785,-0.21481255620568998,-0.1662063395795966,-0.25679722632360785,-0.03508744098737074,0.12292990315728539,-0.07014502593721265,-0.13226076011914914,-0.07269183007847418,-0.2539976721376868,0.1996467758713673,0.04322445008911108,0.15582493859049526,0.14478584604687733,-0.020428122034981264,-0.07035108543955758
Gm3362,grey,,0.35643692326286563,0.12866512819193307,0.2565890076880068,0.1363102794222982,0.06320287450077379,0.18926641355107124,0.3319529014368399,0.27165160041281444,0.2443780349648052,0.0380235153971784,0.09432251816810804,0.34442165177389367,0.07692368022986085,0.11429203976906463,-0.10949662407672194,0.45412627844968595,0.2916356048854191,0.4637516737646637,0.27252800423025497,0.418267660357788,0.06009479033062749,0.30285703796220004
Mup22,midnightblue,0.6223492370063892,-0.1558777465525543,-0.12721759868469854,0.2926237385196565,0.12059498573652788,-0.20140654453448545,-0.08093828639367473,-0.036269741392047083,0.1171692482956736,-0.11585648940632295,-0.08709285891592473,0.4065688573882471,-0.3541893596664944,0.13487067687400847,0.6223492370063892,-0.20474886636991754,-0.18186054472629257,-0.09845354357557734,-0.24258026139443903,0.2371969070867627,0.02578043916286504,0.11427357090225988,-0.14808480822500192
Spata31f1d|Spata31f1c,grey,,-0.14716522908207164,0.17245179800276372,0.10539261042440792,-0.22427626842181317,-0.031247686664818752,-0.5109005546346795,-0.16030479450646784,0.3556849742447352,-0.22695969163463475,0.12767791017826022,0.1820229042495564,-0.059974510424465104,0.16400001626124222,0.10673221489987918,-0.06339533982135977,0.12211238862722142,-0.41045604586127976,-0.1423410972513059,0.1495285991208891,-0.3156665495144864,0.08925411780734868,0.007415874445963637
ENSMUSG00000116679,grey,,-0.26992408433594994,-0.2262610963402069,0.3086972294783221,0.1100846413739078,-0.11506569823832667,-0.20696346070647237,-0.20279529514183223,0.043137914619937455,-0.09254242385518938,0.38593242662591,-0.16858064998575467,0.05903410025337316,0.021058501491957458,0.08669749525277298,0.14916962928587238,0.04532942839691127,-0.25216099486902704,-0.16183405551137978,0.12154583193268538,-0.030503322816440553,-0.13015322991315334,-0.12897284053598176
ENSMUSG00000121675,grey,,-0.038369102550015854,-0.251604687997846,0.2635155574863581,-0.009320641126673244,-0.19985367787492717,0.30277131071105395,0.09235249597875876,-0.07956466597218169,0.10660020075111008,-0.147277388195447,0.14006003051410013,-0.3801874794726121,0.04192767944002816,0.20412593385863584,-0.3098990315929945,-0.0397566670121672,0.21002780862227816,0.07310714477266271,0.07038678362352586,0.34832522379353453,-0.21951844768306175,-0.15975629701081004
Gm9797,grey,,0.15304409090296245,0.23680638588614114,0.14934849008362638,0.3199703159763304,0.20030744646165735,-0.0007547932247705471,0.4415739753212015,0.21400337294807983,0.18849464111914846,0.009799057643154483,0.3225423562927293,0.04157806796114459,0.006438475851457917,0.1479876483468456,0.16051245564184996,0.3713210277801741,0.2837197127225423,-0.21699970481784553,0.38828321815755745,0.0615084510786286,0.2897480721173712,0.5392059077557475
Gm54112,grey,,0.0703144562954299,0.15074524975416967,-0.29822454384849756,0.09947699544533012,0.12675716914971558,0.15123510514430108,0.21418012871280082,-0.11162844967632621,-0.03400748254417831,-0.09852196903454269,0.08867234831447514,0.23277805373348484,-0.14710179985791985,-0.03419792227649359,0.1830471393458155,-0.037912902234611995,0.1338122740601193,-0.44569973005198155,-0.15744167553355456,0.015952587299494878,0.09109304440498431,0.11470462163990312
Pde2a,grey,,0.41157404422157423,0.3768640611720701,0.021424350995611102,-0.06009117966882327,-0.04687176750604387,0.4230130843797983,0.30620466785386447,0.2787023553637625,0.2627647409835192,-0.1124822509561219,0.10169731549687656,0.192004383482496,0.17576600821099975,-0.003996346287760671,-0.3282936414478398,0.4391440036996538,0.22873706808040425,0.3689523079311712,-0.23730482989398247,0.46481762542436944,-0.08614169164928122,0.009459547915524513
ENSMUSG00000083061,grey,,0.46676843143461666,0.36671248697608083,0.07979144210486486,-0.054313395633903416,-0.0038518508273884854,0.3592496746752952,0.2391077450302548,0.34179268931175794,0.3438223345268934,-0.022793825005765548,-0.03415413740078541,0.39440849794523664,0.19709539522049355,-0.16700071510844425,-0.2147201757154351,0.5475728477166457,0.29535182349446054,0.4011395023623407,-0.14914978931218675,0.5165744088929871,-0.1172979340909069,0.11928533752254328
