stressor,gene,n_environments,mean_beta,std_beta,cv,icp_score,environments
combined_flight,LRCH1,6,-0.04414259426322955,0.35361123962512236,8.01065813000981,0.11097968489887777,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,ADORA3|TMIGD3,3,-0.04750980317300054,0.38058482188687365,8.010658610610673,0.11097967897956215,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,PRPSAP1,3,0.012283033324314796,0.09839693718126258,8.010800473502025,0.11097793175430867,analog_spleen|analog_skin_analog|analog_brain
combined_flight,EYA2,6,0.04627123683430102,0.37067801842395925,8.010981243928912,0.11097570541207633,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,EIF3A,3,-0.012045063593560631,0.09650120537494414,8.011680188625498,0.1109670981513742,analog_spleen|analog_skin_analog|analog_brain
HLU,XPNPEP3,3,0.019197290505293674,0.1538303123236647,8.013125824611551,0.11094929988321761,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,UNC5A,3,-0.08386800531754672,0.6720548335339348,8.013244418728107,0.11094784003883851,analog_spleen|analog_skin_analog|analog_brain
HLU,ENSMUSG00000057580,2,0.05200967317692176,0.41686666644775283,8.015175504266645,0.11092407458143508,analog_spleen|analog_skin_analog
combined_flight,GSTM7,6,-0.0813001578740347,0.6516868484425566,8.015812729865274,0.11091623461603814,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,KLRA2,5,0.06854427715618694,0.5494964093193776,8.016663448804282,0.11090576970937205,flight_thymus|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,ARHGAP35,3,-0.022979838493735204,0.18424626076848394,8.017734885342145,0.11089259250961653,analog_spleen|analog_skin_analog|analog_brain
combined_flight,PMS1,6,-0.056522345845699005,0.4532254112171586,8.018517215048126,0.11088297290506016,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,GDA,3,-0.15128020606486317,1.213210176787253,8.01962266132459,0.11086938307163545,analog_spleen|analog_skin_analog|analog_brain
IR,TGS1,3,-0.01394387770027323,0.11182660254941244,8.019763005197484,0.11086765798877056,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,AFG3L2,3,0.03378971488415761,0.27101261601383636,8.020565101611325,0.11085779978699695,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,PMEL,3,0.1351659165637591,1.0841204882657167,8.020664586206255,0.11085657718934892,analog_spleen|analog_skin_analog|analog_brain
combined_flight,GM5619,6,-0.0669315665174071,0.5368803084634003,8.021331762830329,0.11084837874161749,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,YWHAE,3,0.014396958483513097,0.11548347323966465,8.021379331650712,0.11084779424933262,analog_spleen|analog_skin_analog|analog_brain
IR,NDUFA8,3,-0.015127223610152998,0.1213492484443238,8.021910930236162,0.11084126275826839,analog_spleen|analog_skin_analog|analog_brain
IR,PDIK1L,3,0.0094216860477656,0.07558113744041624,8.02203862824553,0.1108396939101185,analog_spleen|analog_skin_analog|analog_brain
combined_flight,USP12,6,0.0457932597868315,0.3673560340557751,8.02205450635683,0.11083949884091392,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,PTMS,6,0.07922784640511227,0.6356006263465435,8.022439674481559,0.11083476710055823,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,STAMOS,3,-0.025746767793366626,0.20655748036848526,8.022656436084615,0.11083210439008474,analog_spleen|analog_skin_analog|analog_brain
combined_flight,6030498E09RIK,4,-0.05966723513783849,0.4787946042366276,8.02441398710935,0.11081051926789037,flight_thymus|flight_eye|flight_liver|flight_kidney
HLU,FICD,3,-0.016160234094458503,0.12967687473830625,8.0244423413601,0.11081017110795648,analog_spleen|analog_skin_analog|analog_brain
IR,PEF1,3,0.007909094319806931,0.06346725323428556,8.024590761391263,0.11080834870409531,analog_spleen|analog_skin_analog|analog_brain
combined_flight,POLR1F,6,-0.06796260085533355,0.5453771503675207,8.024665558396668,0.11080743031741346,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLU,GNAZ,3,-0.06183185079921175,0.49619710215425245,8.024943256843848,0.11080402076120248,analog_spleen|analog_skin_analog|analog_brain
HLU,NCEH1,3,0.03942548282533143,0.31639985696963707,8.025262502076021,0.11080010135660615,analog_spleen|analog_skin_analog|analog_brain
combined_flight,GLT1D1,5,-0.07410651790022517,0.594740858860588,8.02548639022337,0.11079735282557454,flight_thymus|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,ENSMUSG00000086697,2,0.1046937226547705,0.8403751428164435,8.02698684772734,0.11077893619084676,analog_skin_analog|analog_brain
HLUxIR,CD151,3,0.037856151146316075,0.30390139824678386,8.027794189757811,0.1107690293975152,analog_spleen|analog_skin_analog|analog_brain
IR,GM13436,3,-0.023702577041725265,0.1903132134332744,8.029219990258152,0.1107515379045947,analog_spleen|analog_skin_analog|analog_brain
combined_flight,PAX5,6,0.06388304899892776,0.5129397657124505,8.029356233321044,0.11074986678559638,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,GM16570,3,-0.0690510732588308,0.5545439311260062,8.030924023677832,0.11073064033958635,analog_spleen|analog_skin_analog|analog_brain
HLU,ENSMUSG00000109744,3,-0.11107849583312339,0.8921289443986049,8.031517979027727,0.1107233581688173,analog_spleen|analog_skin_analog|analog_brain
