gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEgreen,kMEpink,kMEred,kMEturquoise
Lypd2,turquoise,0.5024626309637037,0.0032443140652687204,0.4210573448436657,-0.013984197850770656,0.2116225236548225,0.16326164504212998,0.39566274474166446,0.5024626309637037
Adtrp,blue,0.8121243079759796,0.43920736397517446,0.8121243079759796,0.6373791658602558,0.2501293957874885,0.17474278890947162,0.5261596370648585,0.6574545466318286
ENSMUSG00000068165,blue,0.2221102178397022,0.27450389804015785,0.2221102178397022,0.35976214305103116,0.19273774940158075,0.09016088532245224,0.24448987806359934,0.1584430520701492
Krt17,blue,0.8668199533777277,0.1580912357554018,0.8668199533777277,0.727345625341701,0.20720213333466225,0.013282199529133686,0.6140342494830736,0.5161860620367307
ENSMUSG00000094935,blue,0.061007178084733556,0.17240373309061327,0.061007178084733556,0.09510857305788795,-0.0642765913459243,0.1262932307920404,0.049109355901561964,-0.041031034770254896
ENSMUSG00000117439,turquoise,0.040135619307284306,-0.055196556177690495,-0.060599072461053075,-0.18476715513478442,0.08398567004607313,0.2904539545884886,-0.03772528370863624,0.040135619307284306
Sectm1b,blue,0.8461296417462647,0.05347681559205832,0.8461296417462647,0.4600544850076558,0.004307470984520258,0.08472397203318484,0.5240335204732548,0.36267041919706694
Mb,red,0.9315576759835774,0.2559724322496478,0.6932870584138738,0.3441871946356602,0.22198014441721528,0.14654854549641633,0.9315576759835774,0.5084587141101173
Krt14,blue,0.923087112707801,0.19234005426981446,0.923087112707801,0.5828790643140674,0.27227407873947534,0.12377540674965225,0.6441410071065871,0.5420787038544511
Muc21,blue,0.791314211920741,0.2972098194643239,0.791314211920741,0.35008396795583047,0.18813417418208925,0.17584078613116344,0.5682147305048434,0.6166002276281133
Il20,black,0.8398945695615088,0.8398945695615088,0.19722388055021123,0.276039195326515,0.31509515168293967,-0.1085550623357852,0.1784597201802874,0.23698350750119196
Duoxa1,blue,0.8447129092813792,0.15719185744723294,0.8447129092813792,0.5487707951078934,0.12993756622135838,-0.0002033643992471911,0.5444654360568323,0.3742656792188841
