gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEgreenyellow,kMEmagenta,kMEmidnightblue,kMEpurple,kMEsalmon,kMEturquoise,kMEyellow
Hsd3b7,turquoise,0.6869292968828902,-0.6204056987474001,0.4343992067321863,-0.01617863060462062,0.28504947344156595,-0.3677179408475062,0.34136743260272245,-0.15553460374216213,0.4814250480815582,0.11186281294688957,0.6869292968828902,-0.6389728896123756
Vwa3b,blue,0.732893149110905,-0.5231552141278708,0.732893149110905,-0.05514459363589214,0.4081701133923005,-0.31370299496020215,0.10097771449296625,-0.039081405755920264,0.5570969640568897,0.38374993514750727,0.6367444016908678,-0.6366066158333777
Nuak2,turquoise,0.43751494944715463,-0.3680842804166488,0.341095862057306,0.045213343918802475,0.2587417509542879,-0.29281180808111407,0.2790825489531617,-0.13240381778703963,0.6305565916089003,0.19935878608618224,0.43751494944715463,-0.5348553781992312
Prc1,black,0.9066436219432774,0.9066436219432774,-0.49588313308374643,0.1843826102199582,-0.3000865044146818,0.2793719267505331,-0.1631651038924634,0.09221786124137431,-0.4571401615613659,-0.2258357459832587,-0.5637749390393618,0.6268984763813938
Fbxo36,blue,0.7610064279726124,-0.5065907240929047,0.7610064279726124,0.012831132718353719,0.36928458323515356,-0.36517144122358913,0.14553604529119318,-0.13980689912432911,0.4668523503298916,0.29273476539580984,0.7382325264029208,-0.7026772227939228
Ffar1,purple,0.7664429030727767,-0.45657681737173,0.23397289591197448,-0.18093311922545977,0.2694924057610797,-0.3086563559035487,0.2538981805574374,0.02903018029094603,0.7664429030727767,0.19654916457373822,0.3876022169789524,-0.46256626739168544
ENSMUSG00000120964,yellow,0.4963234573901309,0.25164457458136413,-0.39803761180858993,-0.06630135197523797,-0.11439635345084202,0.3550207362859119,-0.1645000430180864,0.11395318156644527,-0.2702843151987074,-0.024673999652051564,-0.4392453488078607,0.4963234573901309
Magi2,turquoise,0.4042447506216322,-0.45224797816297674,0.42003117918069555,-0.22058233149792902,0.21861343576811804,-0.10455673097516618,0.10620620752093025,0.06642182878187032,0.3181294663892912,0.23840234505420982,0.4042447506216322,-0.3439494370127396
Tekt5,turquoise,0.16226727777155128,-0.02710190047271482,0.27419505127585136,0.31777844341065625,0.05146023877638666,0.1443270143790262,-0.2901496916139424,-0.29386070383249185,-0.05519275057338025,0.10354506526536497,0.16226727777155128,-0.017622615092233142
ENSMUSG00000121112,blue,0.9323678424648656,-0.41688445861785983,0.9323678424648656,0.09425126409999766,0.4779758854097703,-0.13426069128057255,-0.04948796897387108,-0.17687552526539177,0.2354627513910159,0.5258290758457657,0.5929915627651955,-0.5045225485947274
Atp8b1,turquoise,0.5691701290943123,-0.5707766437078678,0.5431084218428492,-0.22819670740524176,0.3177585334577717,-0.27158244322725467,0.2915966558305028,0.07522035169658826,0.4513567442431982,0.25234800576421784,0.5691701290943123,-0.5522650223704828
Klk14,salmon,0.9375858870003284,-0.22849105886839569,0.5252296497054153,0.021961582850699973,0.7753429082895529,-0.039465146317207205,0.054248976009007986,-0.12012338302236741,0.23691677806369604,0.9375858870003284,0.3033703523554379,-0.2266685921316853
ENSMUSG00000100007,grey,,0.3362164818426898,-0.1890572124168883,0.2323702851470744,0.07976336230276529,0.19660862829651224,0.08197274481719502,-0.0638043484697842,-0.32261569315696725,-0.004721438119254357,-0.2433443874602879,0.32574703476637923
