gene,beta_intercept,se_intercept,t_intercept,p_intercept,beta_isolation,se_isolation,t_isolation,p_isolation,beta_time_num,se_time_num,t_time_num,p_time_num,beta_iso_x_time,se_iso_x_time,t_iso_x_time,p_iso_x_time
ABCC4,6.340100150454534,0.15135828597263973,41.88802819556639,0.0,-0.5795137445699189,0.3484950843548404,-1.6629036407866618,0.10328244054873759,-0.10570665576689864,0.0685518044537242,-1.5419966930010685,0.13007800350935006,0.12275549257459414,0.21233084572015348,0.5781331118342677,0.5660563740596554
ABCC5,9.262110464454555,0.07451122906245095,124.30489445680189,0.0,0.25474207761811557,0.17155847722929132,1.4848702421020425,0.14455014715805303,0.025030034455322564,0.033746941381320304,0.741697867445174,0.46212401796897473,-0.16360977163053486,0.10452703121478381,-1.56523886433115,0.1245328792242264
ABCC5-AS1,12.905466375454493,0.41846339782295394,30.840131879143744,0.0,-3.8960160302365745,0.9634915999913269,-4.043642965098653,0.00020359263722991017,-0.2612729346386812,0.18952659799401822,-1.3785555030483236,0.17484699595517172,1.140278069113063,0.5870355005125937,1.9424346025366153,0.0583583914452841
ABCC6,6.976803636212116,0.11352458133122238,61.456325620408194,0.0,-0.16548945274416577,0.26138482140663144,-0.6331257180642366,0.5298561578467362,0.09638134022843708,0.051416510500889495,1.8745212245932112,0.06735861871206295,-0.05738537400407678,0.159256364520685,-0.3603333165163599,0.7202837568723983
ABCD1,7.043590258545448,0.0985674539986316,71.45959414395784,0.0,-0.10247596969608778,0.22694676393272772,-0.4515418855078455,0.6537678285720774,0.009132814189977523,0.044642265790701886,0.20457774775131843,0.8388245427728878,-0.04702211338548684,0.13827396850804047,-0.3400648284912179,0.7353900080907203
ABCD3,7.972179837999999,0.1901642752492319,41.92259470161549,0.0,0.06541648735257022,0.43784398533845503,0.14940592892238322,0.8819009333499852,0.20534083297435923,0.08612745663178295,2.384150664662538,0.02139590537076219,0.03384558705769569,0.2667692827647925,0.12687212975542228,0.899606827429333
ABCD4,8.271007220499998,0.12703403547797595,65.10859227119454,0.0,-0.3944158066410123,0.2924896818522087,-1.348477676693927,0.18425286877757197,0.08811089212820614,0.05753508837056892,1.5314288136781196,0.13266397377231032,-0.012839745641021777,0.17820791253647275,-0.07204924550358527,0.9428819982445753
ABCE1,7.961367908090918,0.12909087833461433,61.672582995789895,0.0,0.8762329889860219,0.2972254623892479,2.9480414697395707,0.005054904352053802,0.0018735172389252597,0.058466654742335325,0.03204420104385856,0.97457851066889,0.007242142722613282,0.18109332565050887,0.03999121832126413,0.9682770308773883
ABCF1,10.604710200909091,0.0835864793879241,126.87111933130628,0.0,-0.01563387046036286,0.19245379926199963,-0.08123440805177078,0.9356157700523908,0.04819968944055919,0.03785722039037893,1.2731967361451795,0.20948634845148195,0.05752741741842021,0.11725811867621384,0.49060498384142864,0.6260897604069182
ABCF2,9.029905824000009,0.11474130766682393,78.69795113561267,0.0,0.39751393969231374,0.2641862745562718,1.5046729447242464,0.13939527919113437,0.08118116323076763,0.05196757901554571,1.5621501861089757,0.12525861457069554,-0.14407058707692263,0.16096323197222948,-0.8950527726840047,0.3755216123670291
ABCF3,10.816888195454537,0.0792087200481761,136.5618354756335,0.0,0.06103725428905631,0.18237422151977775,0.33468136988010155,0.7394204739608989,0.11048859972027725,0.03587448584581545,3.0798657350838408,0.003524769584619225,-0.005013307925404054,0.11111684047003738,-0.04511744488231638,0.9642133193742071
ABCG1,9.306751561636373,0.12862828415918495,72.35384987425262,0.0,0.5230652115559543,0.2961603618223886,1.7661553637270462,0.08415317216711782,-0.12234152393007078,0.05825714083794824,-2.1000262314689238,0.04136385004404253,-0.3236142154160816,0.18044438190842735,-1.7934291552524515,0.07962616848694726
