gene,module_color,kME_assigned,kMEblue,kMEbrown,kMEred,kMEturquoise,kMEyellow
Gm11565,turquoise,0.957815412054568,-0.4611938814317589,0.3032840555910575,-0.44005036818114035,0.957815412054568,-0.2651086336286929
Krtap19-1,turquoise,0.9453927109545838,-0.4617016502695273,0.2869096275608544,-0.46237686237457903,0.9453927109545838,-0.27252800340858996
Krtap31-1,turquoise,0.9420591106756099,-0.46796995411283343,0.258105242220256,-0.4185167781492786,0.9420591106756099,-0.23483535082650653
Krtap19-9b,turquoise,0.941274890766837,-0.4544244701512797,0.22214005678930315,-0.39786560632241114,0.941274890766837,-0.19397929135101113
Gm4553,turquoise,0.9166506006264542,-0.5355846759533359,0.5779010313517638,-0.6119338563876406,0.9166506006264542,-0.5517862798862035
Krtap22-2,turquoise,0.9732114400115919,-0.458966632100634,0.3875233451115491,-0.4768193000970618,0.9732114400115919,-0.3334155723146865
Gm3238,turquoise,0.8969552792175347,-0.49177919957076993,0.5907738805210956,-0.6269422192691712,0.8969552792175347,-0.5515552635575045
Gm11567,turquoise,0.9518571834204603,-0.4961486673741901,0.3085496857614241,-0.43257429050400276,0.9518571834204603,-0.27892008050053574
Gm11595,turquoise,0.9551638925020376,-0.49647221034349376,0.3460810629733062,-0.4770818628422255,0.9551638925020376,-0.293741263455664
Krtap6-2,turquoise,0.944584265669328,-0.477302053696571,0.27684813487132043,-0.4376374450949529,0.944584265669328,-0.21067451608097368
Lyg2,turquoise,0.9504859963481587,-0.493649217716899,0.25089553509377593,-0.3293047455267145,0.9504859963481587,-0.2285600171970455
Krtap14,turquoise,0.9708559766664794,-0.4383973029432536,0.25205290101455713,-0.4327579697912701,0.9708559766664794,-0.2100718526695463
Ccl21f,brown,0.3694532733371259,-0.14243126658241867,0.3694532733371259,-0.2513972993306899,0.0492774692860039,-0.40263631996596483
Krtap3-3,turquoise,0.9712425236985429,-0.5183192400432136,0.38072170237279135,-0.4433958337748815,0.9712425236985429,-0.3391060613512098
Gm11938,turquoise,0.9614238167109735,-0.513151548374508,0.40992505809349267,-0.4911631353764893,0.9614238167109735,-0.3699230337895805
Krt33b,turquoise,0.9609949013613556,-0.46264981664223814,0.4246340169788148,-0.4771751495539331,0.9609949013613556,-0.36114781266977747
Krt34,turquoise,0.9756907631527472,-0.46783416223727625,0.4002066718409597,-0.48129368972251546,0.9756907631527472,-0.3413916563355084
Krt81,turquoise,0.9627870736802976,-0.44821644544437844,0.4423700225127519,-0.506820940813117,0.9627870736802976,-0.37114074466615143
Krt72,turquoise,0.9643868711342612,-0.40459608304005296,0.3419226392736761,-0.4273904094557637,0.9643868711342612,-0.28787979034297595
Krtap24-1,turquoise,0.9617862958892816,-0.49817429298074656,0.2333857545937134,-0.3910589864982024,0.9617862958892816,-0.2149623557200934
Krtap19-4,turquoise,0.9511249116636343,-0.4939873021327371,0.4620135875865952,-0.5439357535430019,0.9511249116636343,-0.4331386507885425
Krtap21-1,turquoise,0.9501198322604354,-0.49867286335178956,0.26428563546575035,-0.41411286998638197,0.9501198322604354,-0.21262945961161905
Krtap4-9,turquoise,0.9509565299259889,-0.4925276142389716,0.33247685564376367,-0.44819579080026245,0.9509565299259889,-0.2785888691646052
Gm9639,turquoise,0.8673672627577893,-0.49403961811933045,0.6219179955135523,-0.6428494665363212,0.8673672627577893,-0.5873387984532159
Gm11562,turquoise,0.9587169837804886,-0.5014577667123835,0.29401616926047314,-0.4142313121973378,0.9587169837804886,-0.2616138404490395
ENSMUSG00000112864,turquoise,0.936095371472675,-0.5139265663951262,0.5629624815658401,-0.6080496558099092,0.936095371472675,-0.5110199356260389
Gm3250,turquoise,0.896579411368382,-0.5083345616878036,0.565767171210683,-0.5875733568765991,0.896579411368382,-0.540763090618991
Gm29802,turquoise,0.905283176126721,-0.5160566237478926,0.5547354454113125,-0.619827849143665,0.905283176126721,-0.5103186897226931
Krtap1-5,turquoise,0.9619486176457535,-0.46006631883565047,0.26066914059930385,-0.4103132178664869,0.9619486176457535,-0.22484976296681364
Krtap31-2,turquoise,0.9364811698510934,-0.4792339303374776,0.31021438437082893,-0.4257750599766351,0.9364811698510934,-0.2911512275112787
ENSMUSG00000100190,turquoise,0.9599385343217491,-0.5068231192252373,0.23882554913676107,-0.4295147551807717,0.9599385343217491,-0.22238214931494174
Myh7,blue,0.2569490486314316,0.2569490486314316,0.042550196165793516,0.15273445260202823,-0.1220039080696743,-0.001474762976263471
Gm10228,turquoise,0.9543816308682919,-0.4426252998316159,0.2646425552673737,-0.40152331277603465,0.9543816308682919,-0.205129642123407
Krtap4-13,turquoise,0.9204643936861,-0.5001958999327897,0.3705255204120694,-0.42144152597708867,0.9204643936861,-0.3153618793128289
Gm19402,turquoise,0.9205547231929478,-0.5051479209502,0.5604656024204294,-0.6156248891379271,0.9205547231929478,-0.5236671907859535
Krtap28-13,turquoise,0.9624214372771962,-0.5176422992382003,0.2735654125425947,-0.4484670016865513,0.9624214372771962,-0.25767565535017406
Krtap7-1,turquoise,0.9775809402303193,-0.44105255741605004,0.3187364721996441,-0.43504767608616524,0.9775809402303193,-0.259487048784513
H2ac18,brown,0.8981201175342688,-0.29762496524166926,0.8981201175342688,-0.7049380287171959,0.40235841837721104,-0.8357505877733102
Krtap9-1,turquoise,0.936152757018467,-0.4834796580141665,0.1912513325349678,-0.36283129243413975,0.936152757018467,-0.16856181955054927
Krt33a,turquoise,0.9772217592293966,-0.4592925763430404,0.34806962502072797,-0.44423444786577376,0.9772217592293966,-0.3095761301911841
Krtap2-4,turquoise,0.964922422044726,-0.4886100026739174,0.31496740919866867,-0.47141307365314516,0.964922422044726,-0.2714195664930358
