pert_id,perturbation,rev_thymus,rev_gastrocnemius,rev_skin,rev_eye,rev_liver,rev_kidney,n_tissues,mean_rev,min_rev,max_rev
BRD-K18190982,COT-10b,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K88510285,B675700.cdx,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-A30083233,NP-007374,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K08417745,SID 26681509,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K03618428,PP-110,,,,,0.06,0.0909,2,0.07544999999999999,0.06,0.0909
BRD-K06792661,Narciclasine,,0.0909,,0.0588,,,2,0.07485,0.0588,0.0909
BRD-K88378636,withaferin-a,,0.0909,,0.0588,,,2,0.07485,0.0588,0.0909
BRD-A18328003,GDC-0980,,,,0.0588,,0.0909,2,0.07485,0.0588,0.0909
BRD-A02481876,Importazole,,,,0.0735,,,1,0.0735,0.0735,0.0735
BRD-K40175214,torin-1,,,,0.0735,,,1,0.0735,0.0735,0.0735
BRD-K64890080,BI-2536,,,,0.0735,,,1,0.0735,0.0735,0.0735
BRD-K67566344,KU-0063794,,,,0.0588,0.06,0.0909,3,0.0699,0.0588,0.0909
BRD-K12184916,-666,,,,0.0588,0.08,,2,0.0694,0.0588,0.08
BRD-K67868012,PI-103,,,,0.0588,0.08,,2,0.0694,0.0588,0.08
BRD-K54233340,Dorsomorphin dihydrochloride,,0.0758,,0.0588,0.06,,3,0.06486666666666667,0.0588,0.0758
BRD-K77008974,S1266,,,,,0.06,,1,0.06,0.06,0.06
BRD-K17140735,-666,,,,,0.06,,1,0.06,0.06,0.06
BRD-K79404599,HY-10342,,,,,0.06,,1,0.06,0.06,0.06
BRD-K93658967,Aloisine A,,,,,0.06,,1,0.06,0.06,0.06
BRD-K49865102,S1036,,,,,0.06,,1,0.06,0.06,0.06
BRD-A85860691,chaetocin,,,,,0.06,,1,0.06,0.06,0.06
BRD-K45399554,CAM-9-027-3,,,,,0.06,,1,0.06,0.06,0.06
BRD-A52193669,2816,,,,,0.06,,1,0.06,0.06,0.06
BRD-K38634661,-666,,,,,0.06,,1,0.06,0.06,0.06
BRD-K87909389,HY-10005,,,,,0.06,,1,0.06,0.06,0.06
BRD-K40255344,EI-215,,,,,0.06,,1,0.06,0.06,0.06
BRD-K91370081,Anisomycin,,,,,0.06,,1,0.06,0.06,0.06
BRD-K42500029,CGP 57380,,,,,0.06,,1,0.06,0.06,0.06
BRD-K90382497,-666,,,,,0.06,,1,0.06,0.06,0.06
BRD-K40758391,cjd-pla-49-3,,,,,0.06,,1,0.06,0.06,0.06
BRD-K12690157,NCGC00242267-03,,,,,0.06,,1,0.06,0.06,0.06
BRD-A15079084,phorbol-12-myristate-13-acetate (PMA),,,,,0.06,,1,0.06,0.06,0.06
BRD-K20742498,RS 39604 hydrochloride,,,,,0.06,,1,0.06,0.06,0.06
BRD-K53903639,480743.cdx,,,,,0.06,,1,0.06,0.06,0.06
BRD-U33728988,-666,,,,,0.06,,1,0.06,0.06,0.06
BRD-A84481105,thioridazine,,,,,0.06,,1,0.06,0.06,0.06
BRD-K31342827,GF-109203X,,,,,0.06,,1,0.06,0.06,0.06
BRD-A79768653,sirolimus,,,,,0.06,,1,0.06,0.06,0.06
