pathway,pval,padj,log2err,ES,NES,size,leadingEdge_str,tissue,mission,species,ranking_metric,n_ranked_genes
HALLMARK_FATTY_ACID_METABOLISM,0.472968091511138,0.827214763771732,0.0179393715059877,-0.295324361247426,-1.00084956908722,62,RDH11; CA2; PRDX6; YWHAH; CRAT; ODC1; MGLL; ADIPOR2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_G2M_CHECKPOINT,0.979215293986885,0.997828447339848,0.0053044936278106,-0.17817198178061,-0.649987371432955,110,EGF; KNL1; MEIS1; KIF15; TGFB1; LBR; ODC1; RBL1; MCM6; NOTCH2; BARD1; CASP8AP2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_GLYCOLYSIS,0.985869565217391,0.997828447339848,0.00684580993854876,-0.172958550629727,-0.584401143922676,61,KIF2A; PFKP; PYGL; FUT8; PKM; GALK2; GFPT1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_HEDGEHOG_SIGNALING,0.18420318169132,0.421035843865875,0.0542941356227061,0.494586464069095,1.28405919700237,10,TLE1; NF1; DPYSL2; TLE3; LDB1; ETS2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_HEME_METABOLISM,8.11981494200566e-07,3.89751117216272e-05,0.659444398037935,-0.500350485794595,-1.86099073193795,132,HBB; SELENBP1; SMOX; DMTN; GYPC; OSBP2; ENDOD1; PDZK1IP1; EPB42; MARCHF2; TAL1; FN3K; NFE2; MYL4; CA2; DAAM1; HAGH; CLCN3; HBD; YPEL5; ARHGEF12; EIF2AK1; NNT; PRDX2; SPTB; BLVRB; RANBP10; MBOAT2; ANK1; XPO7; ADIPOR1; MARK3; HTATIP2; BSG; TMCC2; RNF123; TRIM58; CTSB; HMBS; NCOA4; TNS1; PPP2R5B; TSPAN5; RBM38; H1-0; SLC4A1; EZH1; CCND3; HDGF,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_HYPOXIA,0.0149700598802395,0.102651839178785,0.326351610990907,0.318287853745198,1.42632039918876,83,CAVIN1; DDIT4; AKAP12; DUSP1; TGM2; RRAGD; TNFAIP3; PGM2; FOS; HK2; BHLHE40; ANXA2; FOSL2; RBPJ; WSB1; CCNG2; SLC2A1; TPD52; FOXO3; CHST2; ZFP36; HMOX1; MXI1; AMPD3; BNIP3L; BTG1; PFKFB3; PFKL; CXCR4; CDKN1B; PPP1R15A; PNRC1; HDLBP,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_IL2_STAT5_SIGNALING,0.527976053419295,0.827214763771732,0.0156772383788356,-0.273823963643111,-0.970849617023854,86,SELP; GUCY1B1; SH3BGRL2; SLC2A3; CA2; FGL2; ODC1; IFNGR1; CDC42SE2; TNFRSF1B; IGF1R; FURIN; XBP1; SLC1A5; CASP3; RABGAP1L; BMPR2; PIM1; IGF2R; SELL; GSTO1; ADAM19; BCL2L1; BATF; GPX4; CCND3,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.03557730458934,0.21346382753604,0.0868545009090863,-0.485806651076785,-1.48115481216352,34,ITGB3; PF4; IL6ST; CD9; TGFB1; IL17RA; IFNGR1; ITGA4; TNFRSF1B; CD36; PIM1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_INFLAMMATORY_RESPONSE,0.276208712302537,0.576435573500947,0.0263415113371773,-0.332573097247313,-1.13138363325123,63,ITGB3; IL7R; GP1BA; CCL5; ACVR2A; CDKN1A; SEMA4D; BEST1; TNFRSF1B; ABI1; ATP2C1; GNA15,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.565299684542587,0.827214763771732,0.0460013775372782,0.224051639209886,0.964521345273318,68,IFI27; IFI44L; LAP3; CASP1; MX1; PARP14; IFIT3; TRIM26; CNP; WARS1; PARP9; TENT5A; OAS1; ADAR; IFI35; MOV10; TRIM21; CMTR1; RSAD2; IL4R; TRIM14; NUB1; SP110; TXNIP; OGFR; PSME2; IFITM3,blood_cfrna,I4,human,log2FoldChange_I4,5344
